V1,V2,V3
*_SCFLD1298_24475,<lmxll>,--,lm,--,--,ll,--,ll,--,--,ll,--,--,--,lm,--,--,ll,lm,--,--,lm,ll,--,--,lm,ll,--,--,--,--,lm,--,--,--,--,--,--,ll,--,--,lm,--,ll,ll,ll,ll,lm,ll,--,ll,lm,ll,lm,lm,--,--,--,--,--,lm,lm,--,lm,--,lm,--,ll,lm,lm,lm,lm,ll,lm,--,--,--,lm,lm,--,--,--,--,--,--,ll,--,lm,ll,lm,ll
*_SCFLD1561_1286,<lmxll>,--,--,--,--,--,ll,--,ll,--,lm,ll,--,--,lm,--,--,ll,--,--,--,lm,lm,ll,--,--,ll,lm,--,--,ll,lm,--,--,--,--,ll,lm,--,--,--,ll,lm,--,ll,--,ll,ll,ll,lm,ll,ll,lm,lm,--,ll,--,--,--,ll,lm,--,ll,ll,ll,lm,ll,--,--,ll,lm,lm,ll,--,lm,ll,ll,--,ll,ll,--,--,--,ll,--,--,--,lm,lm,lm,ll
*_SCFLD1561_3313,<lmxll>,--,--,ll,--,--,ll,lm,--,--,--,--,ll,--,--,--,lm,--,lm,lm,--,lm,--,--,--,--,ll,lm,lm,--,--,--,lm,ll,--,lm,--,lm,--,lm,ll,ll,--,ll,ll,--,ll,--,ll,lm,ll,--,lm,lm,lm,ll,--,--,--,ll,lm,ll,--,ll,--,lm,ll,ll,--,ll,--,lm,ll,lm,--,--,--,--,--,--,--,lm,--,ll,lm,--,--,lm,--,--,ll
*_SCFLD1579_29409,<nnxnp>,--,np,np,--,--,np,nn,--,--,--,--,nn,--,--,--,nn,nn,--,np,--,--,nn,nn,--,nn,--,--,np,--,np,nn,--,--,nn,--,nn,np,np,--,--,nn,nn,--,np,nn,np,nn,--,--,np,nn,np,nn,--,--,np,--,--,np,np,--,--,nn,nn,np,np,np,np,np,--,--,np,--,np,--,np,np,--,nn,np,--,--,--,np,np,--,nn,np,nn,--
*_SCFLD1579_29422,<lmxll>,--,ll,lm,--,--,lm,ll,--,--,--,--,lm,--,--,--,ll,lm,--,ll,--,--,ll,lm,--,lm,--,--,--,--,lm,ll,--,--,lm,--,lm,ll,lm,--,--,lm,ll,--,lm,ll,lm,lm,lm,--,lm,lm,ll,ll,--,--,ll,--,--,lm,ll,--,--,lm,lm,ll,lm,lm,lm,lm,ll,--,lm,--,--,--,lm,ll,--,lm,ll,--,--,--,ll,lm,--,ll,ll,ll,--
*_SCFLD1637_1364,<nnxnp>,--,np,nn,--,np,--,nn,--,--,nn,--,--,--,np,--,np,--,nn,--,nn,np,np,np,--,nn,np,nn,nn,nn,--,--,--,--,np,nn,--,--,--,--,--,np,nn,np,nn,np,nn,nn,--,nn,np,np,nn,np,nn,--,--,--,--,np,np,--,--,np,np,nn,nn,--,np,nn,--,nn,nn,np,--,np,nn,nn,--,--,nn,nn,--,nn,nn,--,--,np,nn,np,np
*_SCFLD1798_21537,<lmxll>,--,--,lm,--,ll,lm,lm,ll,--,--,--,lm,--,ll,ll,lm,--,--,lm,--,--,--,--,--,--,lm,lm,lm,lm,--,ll,--,--,--,--,--,--,lm,--,--,lm,--,lm,lm,--,lm,lm,lm,ll,lm,ll,--,--,ll,--,--,lm,--,lm,ll,--,lm,lm,ll,ll,lm,lm,lm,lm,--,ll,lm,--,--,--,--,ll,lm,--,ll,ll,--,lm,lm,--,ll,ll,ll,ll,lm
*_SCFLD183_79940,<nnxnp>,--,--,np,--,--,--,np,nn,--,np,nn,nn,--,--,--,nn,nn,--,np,--,nn,nn,nn,--,--,--,--,--,--,np,nn,--,--,--,np,nn,nn,--,--,--,nn,np,nn,--,--,np,--,--,--,nn,np,np,np,np,--,np,--,nn,--,--,--,np,nn,--,--,nn,np,nn,--,--,np,np,--,--,--,nn,--,np,--,np,--,--,--,np,np,--,nn,--,nn,--
*_SCFLD187_105982,<hkxhk>,--,--,kk,--,hh,kk,hk,--,--,hk,hk,hk,--,hh,hk,hk,hh,hk,kk,kk,hk,hh,hk,--,--,hk,--,--,kk,--,hh,--,--,hk,--,hh,hk,kk,--,--,--,hk,hk,kk,hk,kk,--,--,hh,hk,hh,kk,--,hh,--,--,hk,--,kk,hk,hk,--,hk,hh,--,kk,kk,hk,kk,--,hh,kk,hh,hk,--,hk,--,--,--,hk,hk,--,kk,kk,--,--,--,--,hk,--
*_SCFLD187_106018,<lmxll>,--,--,ll,--,lm,--,--,--,--,lm,ll,ll,--,lm,--,ll,--,lm,ll,ll,lm,lm,--,--,--,ll,--,--,ll,--,lm,--,--,ll,--,lm,lm,ll,--,--,--,ll,ll,ll,ll,ll,--,--,lm,ll,lm,ll,--,lm,--,--,ll,--,ll,lm,ll,--,ll,lm,--,--,--,ll,ll,--,lm,ll,lm,--,--,lm,--,--,--,lm,lm,--,ll,ll,--,--,--,--,lm,--
*_SCFLD187_146088,<hkxhk>,kk,--,hk,--,--,--,--,hk,--,hh,kk,kk,--,hk,--,kk,kk,--,hk,--,hh,hk,kk,--,kk,kk,hk,hk,hk,--,--,--,--,kk,hh,hk,--,hk,--,hk,kk,kk,kk,hk,kk,hk,hk,--,hk,kk,hk,--,--,hk,kk,hh,--,--,hk,hh,kk,kk,kk,hk,--,hk,hk,kk,hk,--,hk,hk,hk,--,--,hh,hh,--,--,--,--,--,--,hk,--,--,hk,--,hh,kk
*_SCFLD187_21115,<nnxnp>,--,--,nn,--,np,--,--,--,--,nn,--,--,--,np,--,np,--,nn,--,nn,--,np,np,--,--,np,nn,nn,nn,--,np,--,--,--,nn,--,nn,--,--,--,--,np,np,--,--,nn,nn,--,np,np,np,nn,np,np,np,--,--,--,nn,nn,np,np,np,--,--,nn,--,np,--,--,np,nn,np,--,--,nn,nn,--,np,nn,nn,--,nn,nn,nn,--,np,--,--,--
*_SCFLD187_419880,<lmxll>,--,--,--,--,--,--,--,--,--,ll,--,--,--,ll,--,--,lm,--,lm,--,ll,ll,lm,--,--,lm,lm,lm,lm,lm,ll,--,--,--,--,--,ll,lm,--,lm,lm,lm,lm,--,lm,lm,--,lm,--,lm,ll,--,ll,ll,lm,ll,--,--,--,ll,--,lm,--,--,ll,lm,--,lm,--,--,ll,lm,ll,--,--,ll,--,lm,--,--,--,--,--,--,lm,ll,ll,--,--,--
*_SCFLD2294_9999,<lmxll>,ll,lm,--,--,ll,--,--,lm,--,ll,--,lm,--,lm,--,ll,ll,lm,ll,--,lm,--,--,--,--,ll,ll,ll,ll,--,--,--,ll,lm,lm,lm,lm,ll,--,--,--,ll,ll,--,ll,ll,ll,--,lm,ll,lm,--,lm,lm,ll,lm,--,--,ll,lm,lm,--,lm,lm,--,ll,ll,lm,lm,lm,--,ll,lm,--,--,lm,lm,lm,lm,--,lm,--,ll,ll,ll,--,lm,--,lm,--
*_SCFLD230_54508,<lmxll>,--,--,lm,--,--,--,--,ll,--,ll,lm,lm,--,ll,ll,--,lm,ll,--,lm,--,ll,lm,--,lm,--,ll,--,lm,lm,ll,--,--,--,ll,lm,--,--,--,--,--,--,lm,lm,--,--,--,--,ll,lm,ll,--,--,ll,--,--,--,--,lm,ll,--,--,--,ll,ll,lm,--,lm,--,ll,--,lm,ll,--,--,lm,ll,--,--,ll,--,--,--,--,lm,--,ll,ll,--,--
*_SCFLD248_167607,<nnxnp>,--,--,--,--,np,nn,np,np,--,nn,np,--,--,np,nn,np,--,nn,nn,--,nn,np,np,--,np,np,nn,nn,nn,nn,np,--,np,np,nn,np,nn,--,--,nn,np,np,--,nn,np,--,nn,np,np,np,--,nn,np,--,np,nn,--,np,--,--,np,np,np,np,nn,nn,nn,np,nn,--,np,nn,--,nn,np,nn,nn,nn,np,--,nn,--,--,nn,nn,--,np,nn,nn,--
*_SCFLD248_317357,<nnxnp>,--,nn,np,--,nn,--,nn,nn,--,np,--,--,--,nn,--,--,nn,np,np,--,np,nn,--,--,nn,nn,np,np,np,np,--,--,nn,--,np,nn,np,--,--,np,nn,--,np,np,nn,np,np,--,nn,nn,np,--,nn,nn,nn,--,nn,--,--,--,nn,nn,nn,nn,--,np,--,nn,--,--,nn,np,--,--,nn,np,np,--,--,np,np,--,--,np,np,--,nn,--,--,nn
*_SCFLD2603_13417,<nnxnp>,np,np,--,--,np,nn,nn,np,--,nn,--,--,--,np,--,--,--,np,--,--,--,np,np,--,--,np,--,--,--,--,--,--,--,--,nn,np,--,--,--,--,np,nn,np,--,np,nn,nn,nn,nn,np,nn,nn,nn,--,np,nn,--,--,np,--,np,--,np,nn,nn,--,nn,np,nn,nn,nn,nn,--,--,--,np,nn,nn,np,--,nn,--,nn,nn,--,--,np,np,np,--
*_SCFLD265_120374,<lmxll>,--,--,--,--,--,--,--,--,--,ll,--,lm,--,lm,--,--,ll,lm,ll,--,lm,ll,ll,--,lm,--,--,ll,ll,ll,lm,--,--,--,lm,lm,lm,--,--,--,lm,--,--,--,ll,--,ll,ll,lm,ll,lm,ll,lm,lm,--,--,--,--,ll,lm,--,ll,lm,--,--,ll,--,--,--,--,lm,ll,lm,--,--,lm,lm,lm,--,--,--,--,ll,ll,ll,--,lm,--,lm,ll
