V1,V2,V3
*_SCFLD9915_92585,<lmxll>,ll,ll,ll,--,ll,lm,ll,ll,ll,--,lm,lm,--,--,--,lm,lm,lm,lm,ll,lm,lm,ll,--,ll,--,lm,ll,--,lm,lm,--,--,--,lm,ll,lm,lm,--,--,lm,lm,ll,lm,ll,ll,lm,--,ll,ll,lm,lm,--,ll,lm,lm,--,ll,lm,ll,lm,ll,--,ll,ll,ll,ll,lm,lm,--,--,lm,--,--,--,ll,ll,--,lm,--,ll,--,ll,--,lm,ll,lm,lm,lm,lm
*_SCFLD9915_246608,<hkxhk>,--,--,hk,--,hk,--,--,hk,--,hk,--,hk,--,kk,kk,hk,hk,hk,--,hk,hk,hk,--,--,hh,--,hk,hh,kk,kk,hk,--,--,--,kk,hk,kk,hk,--,--,kk,--,--,hk,hh,hk,kk,--,hk,hk,--,kk,--,hh,hk,--,--,--,--,hh,hk,hh,kk,hk,hk,hh,--,hk,--,--,--,hk,hk,--,--,--,hh,hk,--,--,hk,--,hk,kk,--,--,hk,hk,--,hk
*_SCFLD9915_246637,<hkxhk>,--,--,hk,--,hk,--,--,--,--,hk,--,hk,--,--,kk,hk,hk,hk,--,hk,hk,--,--,--,--,--,hk,hh,kk,--,hk,--,--,--,--,hk,--,hk,--,--,kk,--,--,hk,hh,hk,kk,--,hk,hk,--,kk,--,hh,hk,--,--,--,--,hh,hk,hh,kk,hk,--,hh,--,hk,--,--,--,hk,hk,--,--,--,hh,--,--,--,hk,--,hk,kk,--,--,hk,hk,--,hk
*_SCFLD9915_246639,<hkxhk>,--,--,hk,--,hk,--,--,--,--,hk,--,hk,--,--,kk,hk,hk,hk,--,hk,hk,--,--,--,--,--,hk,hh,kk,--,hk,--,--,--,--,hk,--,hk,--,--,kk,--,--,hk,hh,hk,kk,--,hk,hk,--,kk,--,hh,hk,--,--,--,--,hh,hk,hh,kk,hk,--,hh,--,hk,--,--,--,hk,hk,--,--,--,hh,--,--,--,hk,--,hk,kk,--,--,hk,hk,--,hk
*_SCFLD9915_508482,<lmxll>,--,ll,--,--,--,--,ll,--,--,lm,--,--,--,lm,--,--,--,lm,--,ll,lm,--,--,--,ll,lm,lm,ll,lm,--,--,--,lm,--,lm,--,--,lm,--,--,--,--,lm,--,ll,ll,lm,ll,ll,ll,--,lm,--,--,--,--,ll,--,--,ll,--,ll,lm,--,--,--,ll,lm,lm,--,lm,lm,--,--,ll,ll,ll,--,--,--,--,--,--,lm,lm,ll,lm,--,lm,lm
*_SCFLD9915_508565,<lmxll>,--,--,--,--,--,--,ll,ll,--,lm,--,--,--,--,--,lm,--,lm,lm,--,lm,lm,ll,--,ll,lm,--,ll,lm,--,lm,--,--,--,--,ll,lm,--,--,--,lm,--,--,--,--,ll,lm,--,--,ll,lm,lm,ll,ll,--,lm,--,--,lm,--,--,ll,lm,--,--,ll,ll,lm,lm,--,lm,lm,--,ll,--,ll,--,lm,lm,ll,ll,--,--,lm,--,--,lm,--,lm,lm
*_SCFLD9915_508567,<nnxnp>,--,--,--,--,np,--,nn,np,--,nn,--,--,--,--,np,nn,nn,nn,nn,--,nn,nn,np,--,nn,np,--,nn,np,--,nn,--,--,--,np,np,np,--,--,--,np,--,--,--,--,np,np,--,--,np,np,np,nn,nn,--,np,--,--,np,--,--,nn,np,--,--,nn,np,nn,np,--,nn,nn,--,np,--,np,--,nn,nn,np,np,--,--,np,--,--,nn,--,np,nn
*_SCFLD9915_508588,<nnxnp>,--,--,--,--,np,--,nn,np,--,nn,--,--,--,--,np,nn,nn,nn,nn,--,nn,nn,np,--,nn,np,--,nn,np,--,nn,--,--,--,np,np,np,--,--,--,np,--,--,--,--,np,np,--,np,np,np,np,nn,nn,--,np,--,nn,np,--,--,nn,np,--,--,nn,np,nn,np,--,nn,nn,--,np,--,np,--,nn,nn,np,np,--,--,np,--,--,nn,nn,np,nn
*_SCFLD9915_508600,<nnxnp>,--,--,--,--,np,--,nn,np,--,nn,--,--,--,--,np,nn,nn,nn,nn,--,nn,nn,np,--,nn,np,--,nn,np,--,nn,--,--,--,np,np,np,--,--,--,np,--,np,--,--,np,np,--,np,np,np,np,nn,nn,--,np,--,nn,np,--,--,nn,np,--,--,nn,np,nn,np,--,nn,nn,nn,np,--,np,--,nn,nn,np,np,--,--,np,--,--,nn,nn,np,nn
*_SCFLD9915_771780,<nnxnp>,--,--,--,--,nn,--,--,--,--,--,--,--,--,nn,--,np,np,--,np,nn,np,np,--,--,np,nn,--,--,nn,--,--,--,--,nn,--,nn,--,np,--,--,--,np,--,np,np,nn,nn,--,nn,--,nn,nn,np,--,--,nn,--,--,nn,np,np,np,--,nn,nn,np,--,np,--,--,np,np,--,--,--,--,--,np,np,--,nn,--,--,nn,nn,--,np,--,--,np
*_SCFLD9915_771789,<nnxnp>,--,--,--,--,nn,--,--,--,--,--,--,--,--,nn,--,np,np,--,np,nn,np,np,--,--,np,nn,--,--,nn,--,--,--,--,nn,--,nn,nn,np,--,--,--,np,nn,np,np,nn,nn,--,nn,--,nn,nn,np,--,--,nn,--,--,nn,np,np,np,--,nn,nn,np,--,np,--,--,np,np,--,--,--,--,--,np,np,--,nn,--,--,nn,nn,--,np,--,--,np
*_SCFLD9915_771800,<nnxnp>,--,--,--,--,nn,--,--,--,--,--,--,--,--,nn,--,np,np,np,np,nn,np,np,nn,--,np,nn,--,--,nn,--,--,--,--,nn,--,nn,nn,np,--,--,--,np,nn,np,np,nn,nn,--,nn,--,nn,nn,np,--,--,nn,--,--,nn,np,np,np,nn,nn,nn,np,--,np,--,--,np,np,--,--,--,--,--,np,np,--,nn,--,--,nn,nn,--,np,--,--,np
*_SCFLD9915_771810,<nnxnp>,--,--,--,--,nn,--,--,--,--,np,--,--,--,nn,--,np,np,np,np,nn,np,np,nn,--,np,nn,--,--,nn,--,--,--,--,nn,--,nn,nn,np,--,--,--,np,nn,np,np,nn,nn,--,nn,--,nn,nn,np,--,--,nn,--,--,nn,np,np,np,nn,nn,nn,np,--,np,--,nn,np,np,--,--,--,nn,--,np,np,--,nn,--,--,nn,nn,--,np,--,--,np
*_SCFLD9915_782097,<nnxnp>,nn,np,nn,--,nn,--,--,--,--,np,--,--,--,nn,--,np,np,np,np,nn,np,np,nn,--,np,--,np,np,nn,--,np,nn,--,--,nn,nn,nn,np,--,--,--,np,--,np,np,nn,nn,np,nn,nn,--,nn,--,np,nn,nn,--,--,nn,--,--,np,nn,--,nn,np,--,np,nn,--,np,np,np,--,np,--,np,np,np,--,nn,--,nn,nn,--,--,np,np,nn,np
*_SCFLD9915_782113,<nnxnp>,nn,np,nn,--,nn,--,--,--,--,np,--,--,--,nn,--,np,np,np,np,nn,np,np,nn,--,--,--,np,np,nn,--,np,nn,--,--,nn,nn,nn,np,--,--,--,np,--,np,np,nn,--,np,nn,nn,--,nn,--,np,nn,nn,--,--,nn,--,--,np,nn,--,nn,np,--,np,nn,--,np,np,np,--,--,--,--,np,np,--,nn,--,nn,nn,--,--,np,np,nn,np
*_SCFLD9915_1445757,<lmxll>,--,--,ll,--,--,lm,--,ll,--,lm,--,lm,--,lm,--,--,--,--,lm,--,lm,lm,--,--,ll,lm,--,ll,--,lm,--,--,--,lm,lm,--,--,--,--,--,--,lm,lm,lm,ll,ll,--,ll,ll,ll,--,lm,ll,ll,--,lm,--,--,lm,--,--,ll,lm,ll,ll,ll,--,--,--,lm,--,lm,lm,--,--,ll,--,ll,--,ll,ll,--,ll,--,lm,--,lm,--,lm,lm
*_SCFLD9915_1478450,<lmxll>,--,--,ll,--,ll,--,ll,--,ll,lm,lm,--,--,lm,--,lm,lm,--,lm,ll,lm,lm,ll,--,--,--,--,--,lm,lm,lm,--,--,--,lm,ll,--,lm,lm,lm,--,lm,--,--,ll,ll,lm,ll,ll,ll,lm,lm,--,ll,--,lm,--,--,--,--,--,ll,lm,ll,ll,--,--,lm,--,--,lm,lm,--,--,--,--,ll,--,lm,ll,ll,--,--,--,lm,--,lm,--,lm,--
