V1,V2,V3
*_SCFLD36_77034,<lmxll>,--,--,--,--,--,--,lm,ll,--,--,ll,--,--,lm,--,--,lm,lm,lm,--,lm,lm,--,--,--,--,--,--,--,lm,lm,--,ll,ll,lm,--,--,ll,--,ll,lm,lm,ll,--,--,ll,--,--,--,ll,lm,lm,ll,--,--,--,--,ll,lm,ll,lm,--,lm,lm,ll,--,--,ll,--,--,--,lm,lm,--,lm,--,ll,--,--,--,--,--,ll,lm,--,lm,--,--,lm,--
*_SCFLD36_77039,<nnxnp>,--,--,nn,--,--,--,np,nn,--,--,nn,--,--,np,--,--,np,np,np,--,nn,nn,--,--,--,--,--,--,--,np,nn,--,nn,nn,nn,--,--,nn,--,np,nn,np,np,--,--,np,--,--,--,np,nn,np,nn,--,nn,--,--,nn,np,nn,nn,--,np,nn,np,--,--,nn,--,--,--,np,np,--,nn,np,np,--,--,--,--,--,nn,nn,--,np,np,--,np,--
*_SCFLD36_77070,<nnxnp>,np,--,nn,--,--,--,np,nn,--,--,nn,--,--,np,--,--,np,np,np,--,nn,nn,--,--,nn,--,--,--,--,np,nn,--,nn,nn,nn,--,--,nn,--,np,nn,np,np,--,--,np,--,--,--,np,nn,np,nn,--,nn,--,--,nn,np,nn,nn,--,np,nn,np,--,--,nn,nn,--,--,np,np,--,nn,np,np,--,--,--,nn,--,nn,nn,--,np,np,--,np,--
*_SCFLD36_93365,<nnxnp>,--,--,--,--,--,--,--,--,nn,--,--,np,--,np,--,nn,np,np,np,--,nn,nn,np,--,nn,nn,--,np,nn,np,nn,--,--,--,nn,nn,np,nn,--,--,np,np,--,np,--,np,np,nn,--,np,nn,np,--,nn,--,--,--,nn,np,nn,nn,np,np,nn,np,--,nn,--,nn,--,nn,np,np,--,--,--,--,--,--,--,nn,--,--,nn,np,--,np,--,np,nn
*_SCFLD36_93444,<nnxnp>,nn,nn,np,--,nn,nn,nn,--,--,nn,--,nn,--,nn,--,np,nn,nn,nn,nn,np,np,--,--,--,np,np,nn,np,nn,np,nn,np,np,np,np,nn,--,np,nn,nn,--,nn,--,np,nn,nn,np,np,--,np,nn,--,np,np,nn,--,np,nn,np,--,nn,nn,np,nn,nn,np,np,np,nn,--,nn,--,nn,np,nn,nn,np,nn,nn,np,--,np,np,--,--,nn,np,nn,--
*_SCFLD36_117012,<nnxnp>,--,--,np,--,nn,--,nn,--,--,nn,np,nn,nn,nn,--,np,nn,nn,--,nn,np,--,nn,--,--,np,--,nn,--,nn,np,--,--,--,np,--,--,np,--,--,nn,--,--,--,--,nn,nn,np,--,nn,--,--,np,np,--,nn,--,--,nn,np,np,nn,nn,--,nn,nn,np,--,--,--,np,nn,--,nn,--,--,nn,--,nn,--,nn,--,np,--,--,--,nn,np,--,np
*_SCFLD36_117018,<nnxnp>,--,--,nn,--,np,--,np,--,--,np,nn,np,nn,np,--,nn,np,np,--,np,nn,--,np,--,--,nn,--,np,--,np,nn,--,nn,--,nn,--,--,nn,--,--,np,--,--,--,--,np,np,nn,--,np,--,--,nn,nn,--,np,np,--,np,nn,nn,np,np,--,np,np,nn,--,--,--,nn,np,np,np,--,--,np,--,np,--,nn,--,nn,--,--,--,np,nn,--,nn
*_SCFLD36_137431,<nnxnp>,--,np,nn,--,np,np,np,--,nn,--,--,--,--,np,--,--,np,np,--,np,--,nn,np,--,nn,nn,--,np,nn,--,--,--,--,--,nn,--,--,--,--,--,np,np,np,np,nn,np,np,--,nn,np,nn,--,nn,--,--,np,np,--,--,nn,nn,np,np,--,--,--,--,--,nn,--,nn,np,--,--,--,--,np,--,--,--,nn,--,--,nn,--,--,np,--,np,--
*_SCFLD36_137454,<nnxnp>,--,np,nn,--,np,np,np,--,nn,--,--,--,--,np,--,--,np,np,--,np,--,nn,np,--,nn,nn,--,np,nn,--,--,--,--,--,nn,--,--,--,--,--,np,np,np,np,nn,np,np,--,nn,np,nn,--,nn,--,--,np,np,--,--,nn,nn,np,np,--,--,--,--,--,--,--,nn,np,np,--,--,--,np,--,--,--,nn,--,--,nn,--,np,np,--,np,--
*_SCFLD36_181555,<lmxll>,--,--,lm,--,ll,--,--,--,lm,lm,--,lm,lm,ll,lm,--,ll,ll,ll,lm,ll,ll,lm,--,ll,ll,lm,lm,ll,ll,ll,--,lm,lm,ll,ll,lm,lm,--,lm,ll,ll,lm,--,--,lm,ll,--,lm,lm,ll,--,lm,lm,--,lm,--,--,ll,--,--,lm,ll,ll,--,ll,ll,--,lm,--,--,ll,ll,lm,--,--,lm,--,lm,--,ll,--,lm,ll,ll,--,ll,--,ll,lm
