V1,V2,V3,V4,V5
*_SCFLD0_0027688,<hkxhk>,1,1,--,--,hk,--,--,--,--,hk,kk,hh,--,--,--,--,hk,hk,hk,kk,hk,--,--,hh,hk,--,--,hk,hk,hk,hk,--,--,--,--,hk,kk,hk,kk,--,--,--,hk,hh,kk,--,hk,hk,hk,hh,hh,hh,hk,--,hh,kk,hk,hh,hh,--,--,kk,kk,--,hk,--,kk,hh,--,hk,--,hk,kk,hh,hk,hh,hk,hk,--,--,hk,kk,hk,--,--,--,--,--,hk,hh,hh,kk
*_SCFLD0_0054078,<hkxhk>,1,1,--,hk,hk,--,--,--,hk,--,--,kk,kk,hk,--,--,--,hk,--,hh,--,hk,hk,kk,--,--,--,--,--,hk,hk,--,kk,--,hk,--,hh,--,--,hk,--,--,hk,kk,--,hh,--,hk,hk,--,kk,kk,hk,hh,kk,hh,hk,--,--,kk,hk,hh,--,hk,hk,hk,hh,--,--,hk,hh,--,hh,kk,hk,--,--,hk,--,--,--,--,hk,--,hk,hk,hk,--,--,--,kk,hh
*_SCFLD0_0088570,<nnxnp>,1,1,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,np,np,nn,np,nn,nn,np,nn,np,nn,nn,np
*_SCFLD0_0137912,<nnxnp>,0,0,np,np,np,nn,nn,np,nn,nn,np,nn,nn,nn,np,np,np,np,np,np,nn,nn,nn,nn,np,nn,np,np,nn,nn,np,np,nn,nn,nn,nn,np,nn,np,nn,np,nn,np,nn,np,np,np,nn,np,nn,nn,nn,nn,np,nn,np,nn,nn,nn,nn,nn,np,np,np,np,np,np,nn,np,np,np,nn,np,nn,nn,np,np,nn,nn,nn,np,np,nn,np,nn,nn,np,np,np,nn,nn,np
*_SCFLD0_0439915,<lmxll>,1,1,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
*_SCFLD0_0568775,<lmxll>,1,1,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,ll,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
*_SCFLD0_0774561,<lmxll>,1,1,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
*_SCFLD0_1126078,<lmxll>,1,1,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
*_SCFLD0_1137909,<lmxll>,0,0,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
*_SCFLD0_1411261,<lmxll>,0,0,lm,ll,lm,ll,ll,ll,lm,lm,lm,ll,ll,lm,lm,ll,ll,ll,ll,lm,lm,lm,lm,ll,ll,ll,lm,ll,lm,lm,ll,lm,ll,ll,lm,lm,lm,lm,lm,lm,ll,lm,ll,ll,ll,lm,ll,lm,ll,ll,ll,ll,lm,lm,ll,lm,lm,lm,ll,ll,lm,lm,lm,ll,ll,ll,lm,ll,lm,ll,lm,lm,lm,ll,lm,ll,ll,lm,ll,ll,ll,lm,lm,ll,lm,lm,ll,lm,ll,ll,ll,lm
