V1,V2,V3
*_SCFLD26_1188,<hkxhk>,--,--,--,--,hk,--,hh,--,--,hk,--,hk,hk,hk,--,hh,hk,kk,kk,--,--,hk,hh,--,hk,hh,hh,--,hh,hk,--,--,hk,--,hk,kk,hk,hk,hh,--,hh,--,hk,hk,hk,kk,hk,--,kk,kk,hk,--,hh,hk,kk,--,--,--,hk,hk,hk,hk,hk,--,--,hk,--,hh,hk,--,hh,hk,--,--,hh,kk,hk,--,hk,--,hk,--,hh,hk,kk,--,hk,hk,hk,hk
*_SCFLD26_9345,<nnxnp>,nn,--,nn,--,np,--,nn,--,--,nn,--,np,--,np,--,nn,--,np,--,--,nn,nn,nn,--,--,nn,--,nn,nn,nn,--,--,--,--,np,np,nn,--,--,--,--,--,--,--,np,np,--,nn,np,np,--,--,--,np,--,nn,--,--,np,--,--,nn,--,--,nn,--,np,nn,--,--,nn,np,--,np,--,--,nn,np,np,--,np,--,nn,--,np,nn,--,np,np,--
*_SCFLD26_9347,<nnxnp>,nn,--,nn,--,np,--,nn,--,--,nn,--,np,--,np,--,nn,--,np,--,--,nn,nn,nn,--,--,nn,--,nn,nn,nn,--,--,--,--,np,np,nn,--,--,--,--,--,--,--,np,np,--,nn,np,np,--,--,--,np,--,nn,--,--,np,--,--,nn,--,--,nn,--,np,nn,--,--,nn,np,--,np,--,--,nn,np,np,--,np,--,nn,--,np,nn,--,np,np,--
*_SCFLD26_9363,<nnxnp>,nn,--,nn,--,np,--,nn,--,--,nn,--,np,--,np,--,nn,--,np,--,nn,nn,nn,nn,--,nn,nn,--,nn,nn,nn,--,--,--,nn,np,np,nn,--,--,--,--,--,nn,--,np,np,--,nn,np,np,--,--,--,np,--,nn,--,--,np,--,--,nn,np,--,nn,--,np,nn,--,--,nn,np,--,np,--,--,nn,np,np,--,np,--,nn,--,np,nn,--,np,np,nn
*_SCFLD26_9393,<nnxnp>,nn,nn,nn,--,np,--,nn,--,--,nn,--,np,--,np,np,nn,--,np,--,nn,nn,nn,nn,nn,nn,nn,--,nn,nn,nn,--,--,--,nn,np,np,nn,--,--,--,--,--,nn,--,np,np,--,nn,np,np,--,nn,--,np,np,nn,--,--,np,--,--,nn,np,--,nn,--,np,nn,--,--,nn,np,--,np,--,--,nn,np,np,--,np,--,nn,np,np,nn,nn,np,np,nn
*_SCFLD26_172010,<lmxll>,--,ll,--,--,lm,--,lm,--,--,ll,--,lm,--,lm,lm,lm,lm,ll,ll,--,--,ll,--,--,ll,--,lm,lm,ll,ll,lm,--,--,--,lm,ll,ll,--,--,--,lm,--,ll,lm,lm,ll,ll,ll,ll,ll,lm,ll,lm,lm,ll,ll,--,--,--,--,--,--,lm,ll,lm,lm,ll,lm,--,ll,lm,lm,--,lm,--,ll,--,ll,lm,--,--,--,--,--,ll,ll,ll,--,--,--
*_SCFLD26_172075,<lmxll>,--,--,--,--,lm,--,lm,ll,--,ll,lm,--,ll,lm,--,lm,lm,ll,ll,--,--,--,--,--,--,--,lm,--,ll,ll,lm,--,ll,--,--,--,--,--,--,--,--,ll,--,lm,--,--,ll,ll,ll,--,lm,--,--,--,ll,ll,--,lm,lm,ll,--,--,--,--,--,lm,--,lm,lm,--,lm,lm,lm,--,--,ll,ll,--,--,--,lm,--,--,--,ll,--,ll,lm,lm,ll
*_SCFLD26_172090,<lmxll>,--,--,ll,--,lm,--,lm,ll,ll,ll,lm,lm,ll,lm,--,lm,lm,ll,ll,--,--,--,--,--,ll,--,lm,--,ll,ll,lm,--,ll,lm,--,ll,--,--,--,--,--,ll,--,lm,--,--,ll,ll,ll,--,lm,--,--,--,ll,ll,--,lm,lm,ll,--,--,--,ll,--,lm,--,lm,lm,--,lm,lm,lm,--,--,ll,ll,--,--,--,lm,--,--,--,ll,--,ll,lm,lm,ll
*_SCFLD26_172122,<lmxll>,--,--,ll,--,lm,--,lm,ll,ll,ll,lm,lm,ll,lm,--,lm,lm,ll,ll,--,ll,--,lm,--,ll,lm,lm,--,ll,ll,lm,--,ll,lm,--,ll,ll,--,--,--,--,ll,--,lm,--,ll,ll,ll,ll,ll,lm,--,lm,--,ll,ll,--,lm,lm,ll,lm,--,--,ll,--,lm,--,lm,lm,--,lm,lm,lm,--,--,ll,ll,ll,lm,--,lm,--,--,--,ll,--,ll,lm,lm,ll
*_SCFLD26_172131,<lmxll>,--,--,ll,--,lm,--,lm,ll,ll,ll,lm,lm,ll,lm,--,lm,lm,ll,ll,--,ll,--,lm,--,ll,lm,lm,--,ll,ll,lm,lm,ll,lm,--,--,ll,--,--,--,--,ll,--,lm,--,ll,ll,ll,ll,ll,lm,--,lm,lm,ll,ll,--,lm,lm,ll,lm,--,--,ll,--,lm,--,lm,lm,--,lm,lm,lm,--,--,ll,ll,ll,lm,--,lm,--,--,--,ll,--,ll,lm,lm,ll
