V1,V2,V3
*_SCFLD124_543745,<nnxnp>,--,--,--,--,--,nn,np,--,--,np,--,--,--,--,--,nn,nn,--,np,--,nn,--,nn,--,nn,np,nn,nn,nn,--,np,--,np,nn,np,np,nn,nn,--,--,np,np,--,nn,nn,--,--,--,np,nn,np,np,nn,--,--,nn,--,--,np,nn,nn,--,nn,nn,np,np,--,np,--,--,nn,nn,--,--,--,nn,--,--,--,--,nn,--,nn,--,--,--,nn,--,np,nn
*_SCFLD153_37803,<lmxll>,--,--,--,--,lm,--,--,--,--,ll,--,lm,--,lm,--,--,lm,lm,--,ll,--,ll,ll,--,--,ll,--,lm,lm,--,--,--,--,--,ll,ll,lm,--,--,--,--,--,lm,--,ll,--,lm,--,lm,lm,lm,--,lm,--,--,lm,--,--,ll,--,--,ll,lm,lm,--,lm,--,ll,lm,lm,ll,lm,--,--,ll,ll,ll,lm,ll,--,--,--,ll,lm,--,--,lm,ll,ll,ll
*_SCFLD153_37809,<lmxll>,--,--,--,--,lm,--,--,--,--,ll,--,lm,--,lm,--,--,lm,lm,--,ll,--,ll,ll,--,--,ll,--,lm,lm,--,--,--,--,--,ll,ll,lm,--,--,--,--,--,lm,--,ll,--,lm,--,lm,lm,lm,--,lm,--,--,lm,--,--,ll,--,--,ll,lm,lm,--,lm,--,ll,lm,lm,ll,lm,--,--,ll,ll,ll,lm,ll,--,--,--,ll,lm,--,--,lm,ll,ll,ll
*_SCFLD153_37877,<nnxnp>,--,--,nn,--,np,--,nn,--,--,nn,--,--,--,np,nn,--,--,--,nn,--,nn,np,--,--,--,nn,--,np,nn,--,nn,--,--,--,--,--,np,--,--,--,nn,nn,np,np,--,np,nn,nn,--,nn,nn,nn,--,--,nn,--,--,--,--,--,--,np,--,--,nn,--,np,nn,--,--,np,np,np,nn,--,--,np,--,--,--,np,--,np,np,np,--,np,--,nn,--
*_SCFLD153_37884,<lmxll>,--,--,ll,--,lm,--,lm,--,--,ll,--,--,--,lm,lm,--,--,--,ll,ll,ll,ll,--,--,--,ll,--,lm,lm,--,lm,--,--,--,ll,--,lm,--,--,--,ll,lm,lm,lm,--,ll,lm,ll,--,lm,lm,ll,--,--,lm,--,--,--,--,--,--,ll,--,--,ll,--,lm,ll,--,--,ll,lm,ll,lm,--,--,ll,--,ll,--,lm,--,ll,lm,ll,--,ll,--,ll,--
*_SCFLD153_37926,<nnxnp>,--,--,nn,--,np,--,nn,--,--,nn,--,nn,--,np,nn,--,np,--,nn,--,nn,np,--,--,--,nn,--,np,nn,--,nn,--,--,--,nn,np,np,--,--,--,nn,nn,np,np,np,np,nn,nn,--,nn,nn,nn,--,--,nn,nn,--,--,np,np,--,np,--,nn,nn,--,np,nn,nn,--,np,np,np,nn,--,--,np,np,--,--,np,--,np,np,np,--,np,nn,nn,--
*_SCFLD153_422060,<lmxll>,--,--,lm,--,ll,--,ll,lm,--,lm,--,--,--,--,--,--,--,ll,--,lm,lm,--,--,--,--,lm,lm,--,ll,lm,--,--,ll,lm,lm,--,--,lm,--,--,lm,--,--,--,--,lm,--,--,ll,ll,ll,--,ll,ll,ll,ll,--,lm,--,--,lm,--,ll,--,lm,ll,--,lm,ll,ll,lm,ll,--,--,--,--,lm,ll,lm,lm,ll,--,--,--,--,lm,ll,--,lm,lm
*_SCFLD153_510579,<lmxll>,ll,--,--,--,--,ll,ll,--,--,lm,--,--,--,ll,--,lm,ll,ll,lm,--,lm,lm,lm,--,lm,lm,--,ll,ll,lm,ll,--,--,lm,lm,lm,ll,--,--,--,lm,ll,ll,ll,lm,lm,ll,lm,ll,ll,ll,lm,ll,ll,ll,ll,--,--,lm,lm,lm,lm,ll,ll,lm,ll,--,lm,ll,ll,lm,ll,lm,--,--,lm,lm,--,lm,lm,--,--,lm,--,--,--,--,lm,--,--
*_SCFLD153_510625,<lmxll>,ll,--,--,--,--,--,ll,--,--,lm,--,--,--,ll,--,lm,ll,ll,lm,--,lm,lm,lm,--,--,lm,--,ll,ll,lm,ll,--,--,--,lm,lm,ll,--,--,--,lm,ll,ll,ll,lm,lm,--,lm,ll,ll,ll,--,ll,--,--,ll,--,--,lm,lm,lm,lm,--,ll,lm,ll,--,lm,ll,ll,lm,ll,lm,--,--,lm,lm,--,--,--,--,--,lm,--,--,--,--,--,--,--
*_SCFLD167_30699,<lmxll>,lm,lm,--,ll,lm,--,--,ll,--,--,--,--,--,lm,lm,ll,lm,lm,ll,--,ll,--,--,--,ll,ll,ll,--,ll,ll,lm,--,--,ll,ll,ll,lm,ll,--,--,ll,lm,--,lm,ll,ll,--,ll,lm,lm,lm,ll,lm,lm,lm,lm,--,--,ll,ll,ll,ll,lm,lm,--,lm,lm,ll,lm,lm,ll,lm,ll,--,--,ll,ll,--,ll,ll,lm,--,--,lm,ll,ll,lm,ll,ll,ll
